队名,队员号,出场次数,首发次数,上场时间,投篮命中次数,投篮出手次数,篮板总数,盖帽,得分,总命中率
0,0,81,81,37.4,8.8,19.7,4.1,0.6,25,0.446700508
0,1,59,59,31.9,7.3,14.3,9.6,0.3,17.5,0.51048951
0,2,82,82,39.1,6.5,14.1,5.8,0.6,17.4,0.460992908
0,3,48,48,32.8,4.4,8.4,10.4,1.5,11.7,0.523809524
0,4,82,0,20.1,3,6.8,1.8,0.2,8.3,0.441176471
0,5,80,19,21.8,2.9,6.3,5.7,1.3,7.1,0.46031746
0,6,81,1,22,2.5,5.3,3.2,0.3,6.2,0.471698113
0,7,82,1,13.3,1.8,4.8,1.1,0.1,4.9,0.375
0,8,82,82,17.8,1.5,3.7,1.8,0.1,4.4,0.405405405
0,9,52,37,22.7,1.8,3.6,5.8,0.8,4.1,0.5
0,10,13,0,9.5,1.3,3.2,1.8,0.7,3.2,0.40625
0,11,82,0,12.1,1,1.7,3.7,0.7,2.8,0.588235294
0,12,6,0,4.3,1,1.8,0.2,0,2.7,0.555555556
0,13,18,0,4.9,0.6,1.1,0.4,0.2,1.1,0.545454545
0,14,2,0,5,0.5,1.5,0,0,1,0.333333333
1,0,39,39,35.3,7.7,17.8,3.4,0.7,21.8,0.43258427
1,1,54,54,39.4,5.8,14,6.5,0.7,15.3,0.414285714
1,2,66,66,29.5,6.8,12.8,8.5,0.4,15,0.53125
1,3,28,28,24.9,5,11.1,2.4,0,11.6,0.45045045
1,4,64,64,30.4,3.9,7.7,9.8,1.4,10.2,0.506493506
1,5,49,25,23.7,3.3,8.9,2.1,0.2,9.7,0.370786517
1,6,65,7,22.6,2.7,6.3,2.4,0.2,8.1,0.428571429
1,7,63,0,20.4,3.2,6.4,5.3,1.3,7.7,0.5
1,8,49,2,14.8,2.9,7.3,1.6,0,7.5,0.397260274
1,9,66,43,24.7,2.9,6.7,3.5,0.3,6.9,0.432835821
1,10,11,0,10.9,1.8,4.5,0.9,0.2,4.8,0.4
1,11,66,2,14.7,1.2,2.4,5.3,1,3.1,0.5
1,12,42,0,8.5,0.8,1.9,1.3,0.1,2.6,0.421052632
1,13,28,0,4.4,0.5,1.1,0.8,0.2,1.1,0.454545455
2,0,75,75,38.7,6.2,14.6,6.3,0.4,16.5,0.424657534
2,1,79,79,32.3,6.9,14.4,9.8,0.4,16.2,0.479166667
2,2,82,23,25.5,4.9,11.2,2.2,0.1,13.1,0.4375
2,3,66,64,36.7,4.6,9.5,11.1,2.1,11.9,0.484210526
2,4,50,45,21.8,4.1,9.5,1.7,0.1,9.8,0.431578947
2,5,73,27,25.8,3.3,8.4,1.9,0.1,9.6,0.392857143
2,6,82,20,26,2.9,6.2,4,0.4,8.6,0.467741935
2,7,65,5,22.5,3.3,6.8,5.3,1.4,8,0.485294118
2,8,60,60,29.4,2.7,7,2.6,0.4,7.7,0.385714286
2,9,63,12,11,1,2.9,3.1,0.5,2.6,0.344827586
2,10,33,0,8.3,0.9,3.3,1.3,0.2,2.5,0.272727273
2,11,48,0,8.2,0.9,2.4,0.9,0.1,2.1,0.375
2,12,7,0,5,0.7,1.3,1.6,0.1,1.7,0.538461538
2,13,25,0,5.6,0.5,1.7,1.1,0.2,1.3,0.294117647
2,14,1,0,2,0,1,1,0,0,0
3,0,23,23,37.5,7,15.4,6.9,0.2,19,0.454545455
3,1,10,10,31.1,5.8,16.4,3.2,0.1,15.9,0.353658537
3,2,61,9,30.5,4.8,11.4,2.1,0,14.9,0.421052632
3,3,76,76,28.2,5.9,12.9,8.3,0.3,13.7,0.457364341
3,4,67,67,38.7,4.1,10.3,4.9,0.5,13.1,0.398058252
3,5,82,8,28.7,5.2,10.9,6.8,1.4,13,0.47706422
3,6,80,80,35.2,4.8,10,11.3,1.5,12.6,0.48
3,7,82,61,31.5,4.1,9.4,4.2,0.6,11.3,0.436170213
3,8,73,61,29,3.3,8.5,2.6,0.4,9.1,0.388235294
3,9,77,12,16,1.7,4.4,1.6,0.2,4.5,0.386363636
3,10,8,0,7,1.6,3.6,0.9,0,4,0.444444444
3,11,6,0,8,0.8,1.3,0.8,0,2.5,0.615384615
3,12,19,2,12.6,0.8,3.5,1,0.2,2.4,0.228571429
3,13,80,1,7,0.7,1.6,2.2,0.4,1.6,0.4375
3,14,11,0,7,0.5,1.9,0.6,0,1,0.263157895
